image_id,captions
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2761599088_8b39cc5f41.jpg,A dog runs with his tongue hanging out .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/310728631_155c3bbeea.jpg,a couple guys hold hands and playing a on an outdoor skate and city street .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2127031632_77505e4218.jpg,The man in the red jacket is on the hill is wearing a red jacket .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3352791995_8db4979aca.jpg,A woman in blue coat is smiling in a park .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2281054343_95d6d3b882.jpg,An old couple with a hat on a small white horse
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/1439046601_cf110a75a7.jpg,A boy in a bathing suit swimming in a pool .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/537230454_1f09199476.jpg,A little boy with a white vest and skull and a young boy in a black shirt is standing in the grass .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/1057089366_ca83da0877.jpg,A group of children playing on a beach in a park .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3475111806_f0d2927707.jpg,a crowd of young people standing together outside of a building
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3139393607_f0a54ca46d.jpg,A snowboarder jumps in a snow field .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3239480519_22540b5016.jpg,A black and white dog returns a stick in a grassy field .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3461114418_c27b4043a2.jpg,A distorted picture of a guy on a bike in a forest .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3637966641_1b108a35ba.jpg,A Little League team tries to catch a runner sliding into a base during a game .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2955673642_4279b32097.jpg,A white sports car drives in a race car .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3147217787_ed21cd4990.jpg,The basketball player in blue is dribbling the ball for the ball .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2444821454_22a346c996.jpg,A white dog is jumping to catch a soccer ball .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2276314067_7ee246f859.jpg,a brown dog with a brown Frisbee in its mouth .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2755952680_68a0a1fa42.jpg,A person is performing a jump whilst other people in the air watch .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3520617304_e53d37f0af.jpg,Two girls playing on a brown trampoline .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/1130401779_8c30182e3e.jpg,A big tan dog is running to the crashing waves .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2836553263_b1a08c25ea.jpg,A little boy is riding their bicycle down a dirt road .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3729405438_6e79077ab2.jpg,A boy in a white shirt is doing a stunt on a skateboard .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3615730936_23457575e9.jpg,A distorted picture of a guy on a motorbike in a forest .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2330843604_b8d75d6ac7.jpg,A child plays in a pile of leaves .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2376878930_dd3e7cc544.jpg,A young boy runs on a concrete road holding a tennis racket .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3417672954_46b75dea8d.jpg,"A guy gettin lots of air on a skateboard in a park , with a skateboard ."
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/481732592_b50194cb89.jpg,Several people under an unusual structure .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3552435734_04da83b905.jpg,The black dog is running through the water .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3249597269_935e0a375a.jpg,a dog runs through the snow .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/488549693_a1f51d8c4a.jpg,A family is walking through water by the water 's edge .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/419116771_642800891d.jpg,Dog and cow running in a field surrounded by trees
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2583001715_1ce6f58942.jpg,A small dog runs past an large ball and a soccer ball .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/617038406_4092ee91dd.jpg,A woman and a woman holding a grocery bag smile at a brown landscape .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2423894412_d952d5d103.jpg,A woman climbing a mountain .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3079786914_fe598b0e54.jpg,two girls play in a toy .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3425061393_d093edb8da.jpg,Female tennis player on grass prepares to backhand him .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3457572788_e1fe4f6480.jpg,A skier takes to great heights on a snow-covered mountain slope .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/485566887_57eac33bd1.jpg,Two dogs running in a field .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3560977956_e08d2cd531.jpg,A person rowing in a red kayak in a river .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3125158798_0743dae56e.jpg,"A man and woman , both wearing white , are standing before the store on a dirt road ."
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3636543173_15f56515e5.jpg,A man and woman in hats embrace .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/228949397_9e63bfa775.jpg,A little boy is jumping into a swimming pool while her toy slide up .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3529211822_1dabdb3a9c.jpg,"Two dogs , a pitbull and a black Labrador , run on a lawn with a yellow ball ."
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/488089932_c3a5fa4140.jpg,Two girls are at a picture of a small cow with a pink purse .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/10815824_2997e03d76.jpg,Two people and a fire .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2337377811_8c81b40a64.jpg,A little girl in a red jacket runs past a running dog or a snowy mountain .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3582914739_bef2828a06.jpg,"A young woman is riding a skateboard past a snow mound , who is taking a break ."
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3002920707_5d2e6e6aac.jpg,Two children facing each other while running across a sidewalk .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3332248667_617606714b.jpg,A man sleeping at a train .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3329169877_175cb16845.jpg,A man in a red coat is jumping across a hill of snow .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2395967330_7e6ea404f6.jpg,The young child is riding on the low playing on the sidewalk while another person is on the back .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2524003134_580e74328b.jpg,A brown and a black dog are playing with a stick in the water .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3496983524_b21ecdb0c7.jpg,a boy in a red shirt is standing in front of a green and yellow shopping cart .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2453990033_df53f0d8c8.jpg,A little girl in pink is jumping off a sand swing while a girl in green and white looks on
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3264678536_46601d25f0.jpg,A black and brown dog is jumping up on a brown horse as a person in pink watches .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3251646144_d9f4ccca3f.jpg,A young child in a red shirt going down a playground slide .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3368865171_597d51cdd5.jpg,A woman and a girl ride their horses in the park .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3047264032_14393ecea8.jpg,A person is diving into a patch of fire .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3520321387_710ab74cda.jpg,A smiling woman holds a small girl who is holding a bat .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2056377805_e9a9b3bcf0.jpg,A group of people paddle down a river in the blue water .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/195962284_e57178054a.jpg,A person splashing through water onto a natural water .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/478209058_21e2c37c73.jpg,A man is standing up on his side up in front of a mountain waterbed of mountains .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2751567262_e089b33ed9.jpg,The four men are jumping around near a green building .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3183195185_cd0ff994a1.jpg,A man and woman sit together on the ground .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3587449716_3bf1552c36.jpg,A woman holding up a girls that is red is holding a paddle .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/1402859872_0fc8cf8108.jpg,A man in an orange shirt is holding a bat while three other boys are playing the guitar
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2947274789_a1a35b33c3.jpg,A boy wearing a white hooded sweatshirt and headphones holds a camera .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2287887341_663bfa15af.jpg,a person holds a toy in its mouth .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/446514680_ff5ca15ece.jpg,The brown dog is running after a Frisbee in the field .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3170897628_3054087f8c.jpg,two boys run up the side of a small bridge .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2623560640_0445c9a138.jpg,A group of asian people walk and walk .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3518443604_6da641f07d.jpg,Woman standing on benches and standing on a sidewalk .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/254475194_3d8f4dfd53.jpg,A black dog runs in a yard while a woman observes
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/1087168168_70280d024a.jpg,A woman in a red striped bikini is on a wave in the water .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2332540384_4cf26406a9.jpg,A man in an orange jacket is doing a skateboard trick .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3724623861_2bb6c23641.jpg,"The two children are playing the violin , wearing red shirts and shorts ."
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/162152393_52ecd33fc5.jpg,A dirt worker is running past two people on a beach that is field .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3280672302_2967177653.jpg,A black and white dog runs in a field .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2481490320_7978c76271.jpg,A person rowing a boat in the water .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/505955292_026f1489f2.jpg,A child in a pink shirt and jeans is swinging on a horse .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2049646140_d0de01e3c4.jpg,A girl in a pink leotard jumps up to get a toddler in midair .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2657301826_aab4c36e6c.jpg,A toddler shovels a blue play with a toy .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3551787566_b5ebbe2440.jpg,A person rides his bike through a wooded area and river .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2157003092_eaeb977789.jpg,A dog wearing a red coat playing in the snow .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2201978994_c444e64810.jpg,A girl in a dark jacket is walking behind two trees and a woman and a person behind her .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/364213568_7f83e7d144.jpg,The white dog is running on the sand in shallow waters .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2953861572_d654d9b6f2.jpg,A dog running through the snow .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3737711435_113ccd0a52.jpg,A girl in a blue swimsuit is walking through the water on a cliff .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3668259129_e073af1533.jpg,A skateboarder doing a jump .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/303795791_98ebc1d19a.jpg,Little white dog and a ball are playing with a toy outside of a soccer ball .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2144050118_3e7d2e05b1.jpg,A black and white dog is eating a black Popsicle .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/342872408_04a2832a1b.jpg,a rock climber climbs the rock .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/687513087_413d4a3a3b.jpg,Black dog with white eyes running in the grass .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3036033157_522a43a550.jpg,A black and white dog is jumping up in the air over a grassy area .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3335375223_b4da8df523.jpg,A little boy in blue is holding a red sign while a little boy in a blue hoodie .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/270864951_1737ae5479.jpg,A young dark haired woman is holding outdoors and looks down at the camera .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3532761259_14026c1e96.jpg,Two girls with their eyes toy and smile at the camera .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/269898095_d00ac7d7a4.jpg,Three people riding a blue toy car at the top of a small wooden bridge .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/310715139_7f05468042.jpg,A shaggy dog jumping and jumping with a tennis ball in its mouth .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3235076435_1eaa40bd0a.jpg,A surfer is jumping over a small wave on the crashing waves .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3415809168_af9dabdba5.jpg,Two black dogs run in a field of brown grass with a stick in the background .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3544483327_830349e7bc.jpg,A man is performing a midair stunt on a dirt bike high in the air .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3721881082_afe9fc734e.jpg,a girl and a woman sitting on a bench with a big tan building on the ground
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3394586927_eae7732b64.jpg,A person in a blue jacket and blue glasses is standing in front of a building .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3454149297_01454a2554.jpg,The young child is running a baseball bat near the little boy .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2120571547_05cd56de85.jpg,The man has his beard on the other side of a train .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3019199755_a984bc21b1.jpg,A sponsored race car is driving with lights into the white lights .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3653837067_94050699ec.jpg,a group of people jumping on a white horse competition
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/531152619_6db02a7ed9.jpg,The brown dog is playing in the snow .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3666056567_661e25f54c.jpg,A group of foreign people with red shirts are on the sidewalk with a crowd on the other cars .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3661072592_2e693cd5a0.jpg,A woman and a young girl pose on a field surrounded by flowers .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3341477531_4e37450f35.jpg,A man in a blue and white striped shirt and shorts is doing a skateboard trick .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3601508034_5a3bfc905e.jpg,A soccer player in a green uniform chasing the ball .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3445296377_1e5082b44b.jpg,a young man is riding a red surfboard through a red and pink mud .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2412390588_a89cab30f4.jpg,A man is holding a large blue rope during a game of trees .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3578477508_b7d839da16.jpg,A man jumping on a platform while wearing a blue sweatshirt and jeans .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3656206975_09e6ce58bd.jpg,a black dog swimming in the water with a tennis ball in his mouth
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3219065971_702c4e8c34.jpg,A boy is sitting in a red toy car with a balloon .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3398276602_c7d106c34f.jpg,a man in a blue shirt is riding a red horse in a race .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2325258180_6217dd17eb.jpg,A brown dog and a black dog are playing and playing and by the woods .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2995461857_dd26188dcf.jpg,a kid in a red jacket is riding a red and yellow boat in front of a white skyline .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3155361712_2cbf59c78e.jpg,A skier splits his legs while flying throught the air over a ski hill .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3261493263_381a4c5cc7.jpg,A participant and a dog in a red coat are running in the snow .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3272541970_ac0f1de274.jpg,A boy in a white jacket and white pants is skating down a sand .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3135826945_f7c741e5b7.jpg,A boy is playing in front of a green wheelbarrow with a balloon .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3110018626_307a123b59.jpg,The Mastif are playing in the field .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/390992388_d74daee638.jpg,A skier is descending a mountain or snow covered mountain .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2588456052_8842b47005.jpg,"Female tennis player on grass prepares of tennis , prepares to hit a ball ."
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3262760716_1e9734f5ba.jpg,A boy is wearing a blue shirt with a small child on his toy .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2738077433_10e6264b6f.jpg,The light brown dog is running on a dirt field next to the orange trees .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/1798215547_ef7ad95be8.jpg,A young boy going headfirst down a slide .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2755053974_5cc157512e.jpg,The girl holds a toy in its mouth while in a car .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3533484468_0787830d49.jpg,A woman in a blue jacket and brown hair is smiling in a park .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3292016893_24d14c8b4f.jpg,Two white dogs play together in the grass .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3267644370_f2728d6c7a.jpg,A skier splits to the sky as the he is holding a jump .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2980118787_2099de53ec.jpg,A man is taking a picture of his bicycle through a jump moving towards a jump or a jump .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3472270112_0a7cb7b27c.jpg,A baseball player swinging a bat as a player and a crowd is falling out .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/1342780478_bacc32344d.jpg,Three men are walking up a small red and white sign on the sidewalk .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2490179961_e842fda5eb.jpg,A person is holding their brown animal while smiling .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3595992258_6f192e6ae7.jpg,A brown dog carries a stick in his mouth in the woods .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2823200990_7b02b7cc36.jpg,A little boy jumps off of a blue chair with his arms folded .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3571193625_835da90c5e.jpg,A brown and white dog carries a stick in his mouth with a stick in his mouth .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2219805677_7b7cc188c7.jpg,A brown dog with a yellow toy in its mouth is running on sand .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/976392326_082dafc3c5.jpg,A man is rock climbing while the wind is attached to the top below .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2092419948_eea8001d0f.jpg,A woman with a red top stands on the edge of a large body of water .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3216085740_699c2ce1ae.jpg,A crowd is in the desert parade while being ridden by a group of people .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3284887033_e2e48f1863.jpg,A white dog plays with a colorful ball .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/236095034_c983bdfbbf.jpg,A man is rock climbing at the edge of a cliff .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2828583747_8cfb7217af.jpg,A kid on a red and white striped shirt is watching another kid in a red shirt and a crowd on the opposite wheel .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/536828916_b763b82949.jpg,A girl is carrying a blue flowered towel on her hand .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2192026581_b782d1355a.jpg,A person wearing a black helmet and white helmet is swinging by a rock .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3350614753_5624e181b3.jpg,Two people are walking down a city street .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3677239603_95865a9073.jpg,A woman in a blue sweater and a jean sweatshirt stands smiling .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3210419174_d083a16f77.jpg,A blond man with a white Mohawk and a jean jacket holds a sea purse while posing for a picture .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/710878348_323082babd.jpg,A kid with a bucket runs from the beach .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/771366843_a66304161b.jpg,A hiker is posing in front of a mountain cliff and mountains .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3229898555_16877f5180.jpg,A white and brown dog licking a dog licking his left front leg .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2959941749_fa99097463.jpg,A hockey player jumps up to group to the goal during a game .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/689776124_07f560a920.jpg,A black dog with a red vest and its tongue hanging out .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3498423815_5b8fc097f4.jpg,The young child rides down the hill .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/207584893_63e73c5c28.jpg,A person is riding a parasail in a Nat .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3687995245_624b54090d.jpg,A woman in a white and blue Mohawk is running with a crowd in the background .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/1355703632_5683a4b6fb.jpg,A softball player playing softball .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2097398349_ff178b3f1b.jpg,A snow skier is descending the waves .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3425853460_bfcd0b41f6.jpg,A boy hits a tennis ball during a game .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/990890291_afc72be141.jpg,A distorted picture of a bike rider in front of his bike .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2785108434_cd4a1c949c.jpg,A little kid is jumping over a rock .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2506892928_7e79bec613.jpg,A young girl runs while holding two others .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3025513877_1a6160070d.jpg,A person is standing barefoot with a river in his hand and mountains behind his .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/380590140_25b9889772.jpg,A woman wearing a jean jacket and carrying a stick stands next to a street next to her .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3486135177_772628d034.jpg,A man is skiing in midair on a hill while people in the background watch .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3204712107_5a06a81002.jpg,A young girl in the back of a man outside the tree .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/112243673_fd68255217.jpg,Three people on bikes are riding on a trail through long grass .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3589052481_059e5e2c37.jpg,A smiling woman holds a small camera to his eyes .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3640241166_b1ab7a8e7a.jpg,A person holding a Canon camera .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3106857210_07a92577fc.jpg,A man with a yellow shirt and headphones walks down a street on a city street .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/1119463452_69d4eecd08.jpg,A little boy swimming underwater with a toy in his hand .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3104909823_0f41dd8be6.jpg,Two men dressed jackets standing on the street and pose for a picture .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3660361818_e05367693f.jpg,A skateboarder is in midair while holding an orange bike trick .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/478208896_90e7187b64.jpg,A lady in a red jacket and tan pants is rock climbing .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2173312932_269f9786fc.jpg,The two dogs are running in a field .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3524519277_bd0c3e7382.jpg,"Four men in blue suits , hats stand together on the side of a road ,"
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/1383698008_8ac53ed7ec.jpg,A man is snowboarding over a structure in front of a mountain scene .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2056042552_f59e338533.jpg,Two french poodles romp on a snowy field
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2706023395_ac9eba0e42.jpg,Three people are sitting by a red tent holding a red toy in front of a white building .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3638440337_6d5c19a8f0.jpg,A man is sitting on a snow field with a stick in his hand .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3353278454_2f3a4d0bbc.jpg,A man walks with a dog that are on a street with a group of beer on it .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/1683444418_815f660379.jpg,A group of people stand for a picture and a large stand holding a large rock on it .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2559638792_a803ff63d1.jpg,Two people are playing in a river and one is wearing floatation vests .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/977856234_0d9caee7b2.jpg,A long-haired dog wearing a pink vest and running .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3164423279_9b27cb6a06.jpg,A young man in a red jacket is laying in the snow while a person in the snow costume looks on .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2998945968_86f236d1e8.jpg,A line of bike riders is passing by a field trail whilst others behind them watch .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/1809796012_a2dac6c26b.jpg,A dog with a toy in its mouth .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2565350330_c7f305e7f7.jpg,The white dog is under a tree .
